Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length,cosine_similarity(%)
INDvAUS,10:28 pm · 9 Jun 2019,InGenious@Bees_Kut,SBI should hire Jadeja immediately if they want to catch Vijay Mallya #INDvAUS,0,173,5,26,#INDvAUS,,0,78,27.735009811261456
INDvAUS,10:28 pm · 9 Jun 2019,Gabbbar@GabbbarSingh,Jadeja is the match winner without even playing the match.  #INDvAUS,0,639,11,50,#INDvAUS,,0,68,25.81988897471611
INDvAUS,10:27 pm · 9 Jun 2019,Gaurav Sethi@BoredCricket,"That Dhawan niggle proving priceless.

#IndvAus",0,213,5,44,#IndvAus,,0,47,40.824829046386306
INDvAUS,10:27 pm · 9 Jun 2019,BCCI@BCCI,"Match 14. 40.4: WICKET! G Maxwell (28) is out, c (Sub), b Yuzvendra Chahal, 244/6 http://bcci.tv/icc-cricket-world-cup-2019/match/14… #IndvAus #CWC19",0,674,45,77,"#IndvAus,#CWC19",,1,149,17.407765595569785
INDvAUS,10:27 pm · 9 Jun 2019,Preity G Zinta@realpreityzinta,Wow ! What an amazing over by #Bhuvi  Crucial 10 overs for India now. Come on India  Let’s make this Sunday a Funday  #INDvAUS #ICCCricketWorldCup2019 #ting,0,3.2K,42,156,"#Bhuvi,#INDvAUS,#ICCCricketWorldCup2019,#ting",,0,156,18.89822365046136
INDvAUS,10:25 pm · 9 Jun 2019,Prakhar Bhargava@prakhar_1406,"Did Rohit Sharma just say Ian Gould, ""Kya chutiya hai yeh"" after Smith's dismissal?  #INDvAUS #TeamIndia #RohitSharma",0,919,44,329,"#INDvAUS,#TeamIndia,#RohitSharma",,0,117,23.570226039551585
INDvAUS,10:25 pm · 9 Jun 2019,Siddarth Srinivas@sidhuwrites,"Awesome work Bhuvi. Did look on point with the ball today, and the wickets have come at the right time. Game back in our fist. #INDvAUS",0,92,,2,#INDvAUS,,0,135,17.677669529663685
INDvAUS,10:25 pm · 9 Jun 2019,Yo Yo Sonya G@moronhumor,"RT for Wicket No. 6 

#INDvAUS #CWC19",0,19,11,21,"#INDvAUS,#CWC19",,0,37,37.79644730092272
INDvAUS,10:25 pm · 9 Jun 2019,SunRisers Hyderabad@SunRisers,"MAKE THAT TWO! 

Bhuvi has changed the course of this game! Clips Stoinis' off stump and he'll have to go for 
#INDvAUS #CWC19 #OrangeArmy #RiseWithUs",0,437,5,17,"#INDvAUS,#CWC19,#OrangeArmy,#RiseWithUs",,0,150,19.611613513818405
INDvAUS,10:24 pm · 9 Jun 2019,Ankush Sood@pahadiSood,And what an over that was from Bhuvi !!#INDvAUS,1,95,3,14,#INDvAUS,,0,47,33.33333333333333
INDvAUS,10:24 pm · 9 Jun 2019,Angad Singh Ranyal@PiratedSardar,"That Rohit Sharma reaction to umpire was GOLD!

#INDvAUS",0,98,4,9,#INDvAUS,,0,56,33.33333333333333
INDvAUS,10:24 pm · 9 Jun 2019,Mumbai Indians@mipaltan,"Make that two for Bhuvneshwar!

Stoinis doesn't bother troubling the scorers, walks back for a 
#OneFamily #CricketMeriJaan #CWC19 #TeamIndia #INDvAUS",0,395,2,25,"#OneFamily,#CricketMeriJaan,#CWC19,#TeamIndia,#INDvAUS",,0,150,20.851441405707476
INDvAUS,10:23 pm · 9 Jun 2019,ESPNcricinfo@ESPNcricinfo,"Australia need 115 runs in the last 10 overs with five wickets remaining. Who are you backing from now? 

#INDvAUS | #CWC19
http://es.pn/INDvAUS",0,83,8,24,"#INDvAUS,#CWC19",,1,144,38.490017945975055
INDvAUS,10:23 pm · 9 Jun 2019,Troll Cinema ( TC )@Troll_Cinema,"Fabulous Over From #Bhuvi !

Removes The Dangerous Steven Smith And Stonis At The Cost Of Just 3 Runs !!

#IndvAus",0,102,,14,"#Bhuvi,#IndvAus",,0,114,21.82178902359924
INDvAUS,10:23 pm · 9 Jun 2019,MRF Tyres@MRFWorldwide,"One brings two!

The decision of sticking with Bhuvi even after his expensive previous over is proving to be a GENIUS MOVE by #ViratKohli
#RideAlongWithMRF
#INDvAUS
#CWC19",0,27,7,13,"#ViratKohli,#RideAlongWithMRF,#INDvAUS,#CWC19",,0,171,19.245008972987527
INDvAUS,10:23 pm · 9 Jun 2019,Joginder Tuteja@Tutejajoginder,Two wickets in one over - Well done @BhuviOfficial - Game on  #INDvAUS,0,107,1,9,#INDvAUS,@BhuviOfficial,0,70,30.15113445777636
INDvAUS,10:23 pm · 9 Jun 2019,Aakash Chopra@cricketaakash,"Steve Smith LBW  Aisa Bhi Hota Hai??? 
Add to that Stoinis dismissed for a duck  
Kumar has turned the game on its head. #IndvAus #CWC19",0,2.1K,36,88,"#IndvAus,#CWC19",,0,136,20.0
INDvAUS,10:23 pm · 9 Jun 2019,Ramesh Bala@rameshlaus,"#Bhuvi is on fire..

#INDvAUS #ICCWorldCup2019",0,316,1,23,"#Bhuvi,#INDvAUS,#ICCWorldCup2019",,0,46,40.824829046386306
INDvAUS,10:23 pm · 9 Jun 2019,Cricbuzz@cricbuzz,"Double blow from Bhuvneshwar and Australia's chase is unravelling. Stoinis makes a two-ball duck and it's 238 for five

#INDvAUS #CWC19",0,613,6,35,"#INDvAUS,#CWC19",,0,135,18.89822365046136
INDvAUS,10:23 pm · 9 Jun 2019,Shridhar V@iimcomic,"ICC also would’ve overturned their decision about Dhoni’s gloves if he had reviewed it once. 

#INDvAUS",0,329,3,49,#INDvAUS,,0,103,23.570226039551585
INDvAUS,10:22 pm · 9 Jun 2019,....@ynakg2,Is the Bhuvi of the old back  #INDvAUS #CWC19,0,483,6,33,"#INDvAUS,#CWC19",,0,45,30.15113445777636
INDvAUS,10:22 pm · 9 Jun 2019,Vikram Chandra@vikramchandra,"Yesssss! What an over, Bhuvi!  #INDvAUS",0,147,4,13,#INDvAUS,,0,39,40.824829046386306
INDvAUS,10:22 pm · 9 Jun 2019,BCCI@BCCI,"Match 14. 39.6: WICKET! M Stoinis (0) is out, b Bhuvneshwar Kumar, 238/5 http://bcci.tv/icc-cricket-world-cup-2019/match/14… #IndvAus #CWC19",0,700,43,73,"#IndvAus,#CWC19",,1,140,17.96053020267749
INDvAUS,10:22 pm · 9 Jun 2019,SunRisers Hyderabad@SunRisers,"BIG WICKET! BHUVI GETS SMITH! 

A successful review from the captain and @BhuviOfficial gets his first wicket of the day.

#INDvAUS #CWC19 #OrangeArmy #RiseWithUs",1,1K,12,43,"#INDvAUS,#CWC19,#OrangeArmy,#RiseWithUs",@BhuviOfficial,0,162,18.257418583505537
INDvAUS,10:22 pm · 9 Jun 2019,SunRisers Hyderabad@SunRisers,"BIG WICKET! BHUVI GETS SMITH! 

A successful review from the captain and @BhuviOfficial gets his first wicket of the day.

#INDvAUS #CWC19 #OrangeArmy #RiseWithUs",1,1K,12,43,"#INDvAUS,#CWC19,#OrangeArmy,#RiseWithUs",@BhuviOfficial,0,162,18.257418583505537
INDvAUS,10:21 pm · 9 Jun 2019,RJ ALOK@OYERJALOK,"Did you read Sharma's lips ?

Loved the way @ImRo45 told to umpire "" KYA AADMI HAI"" 
post Steve Smith 's LBW decision. 
Australia 4 Down .

#INDvAUS
#RjAlok",0,284,4,25,"#INDvAUS,#RjAlok",@ImRo45,0,156,18.569533817705185
INDvAUS,10:16 pm · 9 Jun 2019,S H A H Z A D@Pracha_Says,"Mixwell  and smith  
Chase hoga ss ly lo sab 

#INDvAUS",0,45,14,4,#INDvAUS,,0,55,31.622776601683793
INDvAUS,10:15 pm · 9 Jun 2019,Aakash Chopra@cricketaakash,Chahal Time. #IndvAus,0,525,32,11,#IndvAus,,0,21,57.73502691896258
INDvAUS,10:15 pm · 9 Jun 2019,Cricbuzz@cricbuzz,"Smith and Maxwell are beginning to make their move and not even Bumrah has been spared. A thriller on the cards?

#INDvAUS #CWC19",0,158,4,7,"#INDvAUS,#CWC19",,0,129,20.0
INDvAUS,10:15 pm · 9 Jun 2019,Ranveer Allahbadia@BeerBicepsGuy,"I'm practicing the lifestyle of not hating ANYTHING.

No hate directed towards situations, evils and especially none towards other human beings.

But these beliefs completely fizzle away when I listen to Sanjay Manjrekar's commentary. I'm sorry Sanjay.

#INDvAUS #CWC19",0,536,10,45,"#INDvAUS,#CWC19",,0,269,13.608276348795433
INDvAUS,10:14 pm · 9 Jun 2019,Mohandas Menon@mohanstatsman,"Glenn Maxwell is always at his dangerous best when there is nothing to lose! 
#CWC19
#CWC2019
#IndvAus
#AusvInd",0,338,11,20,"#CWC19,#CWC2019,#IndvAus,#AusvInd",,0,111,22.360679774997898
INDvAUS,10:14 pm · 9 Jun 2019,R.Sport@republic_sports,#INDvAUS | World Cup 2019: This video of Virat Kohli's reaction to MS Dhoni's six is going viral.,1,104,3,13,#INDvAUS,,2,97,21.82178902359924
INDvAUS,10:13 pm · 9 Jun 2019,June Paul@journojuno,"Australian supporters yelling ""Go Maxy"" from the stands is reminding me of Aishwarya Rai cheering for SRK in Josh. #INDvAUS",0,57,4,28,#INDvAUS,,0,123,22.360679774997898
INDvAUS,10:12 pm · 9 Jun 2019,Sanjiv Raman@imsanjivraman,"Do the ""Mumbai Indians pre celebration"" warm up, NOW! All of you. Maxi is going bonkers, bumrah....Yorker daaaw.

#INDvAUS #CWC19",1,9,1,7,"#INDvAUS,#CWC19",,0,129,21.82178902359924
INDvAUS,10:11 pm · 9 Jun 2019,Sawera Pasha@sawerapasha,"This angry, rude, stubborn youngster has revamped into a gentleman. Amazing transformation of @imVkohli . Impressive! 
#CWC19 #INDvAUS",0,152,10,6,"#CWC19,#INDvAUS",@imVkohli,0,134,24.253562503633297
INDvAUS,10:10 pm · 9 Jun 2019,BCCI@BCCI,"Match 14. 37.6: B Kumar to S Smith (60), 4 runs, 222/3 http://bcci.tv/icc-cricket-world-cup-2019/match/14… #IndvAus #CWC19",0,185,18,13,"#IndvAus,#CWC19",,1,122,18.257418583505537
INDvAUS,10:09 pm · 9 Jun 2019,Ammara Ahmad ਅਮਾਰਾ ਅਹਿਮਦ@ammarawrites,Aussie batsman Usman Khawaja was born in Islamabad and moved to Australia at age five. #JustSaying #INDvAUS,1,45,13,7,"#JustSaying,#INDvAUS",,0,107,24.253562503633297
INDvAUS,10:09 pm · 9 Jun 2019,ESPNcricinfo@ESPNcricinfo,"Glenn Maxwell is here, and he's dealing in boundaries - the equation could change very quickly if he gets going #INDvAUS | #CWC19",1,64,2,4,"#INDvAUS,#CWC19",,2,129,20.412414523193153
INDvAUS,10:09 pm · 9 Jun 2019,CricketNext@cricketnext,"The spirit of cricket 
As fans at the Oval were booing and chanting at Steve Smith, Virat Kohli stepped in and asked them to cheer for India instead 

Follow all the action LIVE: https://news18.com/cricketnext/amp/news/india-vs-australia-live-score-icc-cricket-world-cup-2019-match-in-london-india-look-to-register-second-win-2178651.html?view_port=app&__twitter_impression=true…
#EkCupAur #INDvAUS #CWC19",0,58,1,9,"#EkCupAur,#INDvAUS,#CWC19",,1,405,10.482848367219184
INDvAUS,10:09 pm · 9 Jun 2019,Farrago Abdullah@abdullah_0mar,"Not a single clap, chanting, cheering & shouting when Aussies scored a boundary.

Looks like #INDvAUS is happening at Mohali.",0,21,1,6,#INDvAUS,,0,125,21.82178902359924
INDvAUS,10:07 pm · 9 Jun 2019,SunRisers Hyderabad@SunRisers,"Boom and bowled! 

Bumrah makes sure the bails come off this time! 
#INDvAUS #CWC19 #OrangeArmy #RiseWithUs",0,89,,2,"#INDvAUS,#CWC19,#OrangeArmy,#RiseWithUs",,0,107,25.0
INDvAUS,10:06 pm · 9 Jun 2019,Mumbai Indians@mipaltan,"The bails are finally off the groove this time... 
#OneFamily #CricketMeriJaan #CWC19 #TeamIndia #INDvAUS",0,226,1,13,"#OneFamily,#CricketMeriJaan,#CWC19,#TeamIndia,#INDvAUS",,0,105,25.0
INDvAUS,10:06 pm · 9 Jun 2019,Omer Alvi@omeralvi_,"Indian fans were chanting cheater cheater while Steve Smith was fielding so #Kohli went there and asked them to cheer for Indian team instead of trolling Smith.
Respect.
#CWC19 #INDvAUS",0,78,4,4,"#Kohli,#CWC19,#INDvAUS",,0,185,16.666666666666664
INDvAUS,10:06 pm · 9 Jun 2019,CricBlog@cric_blog,"This is absolutely outstanding.

Respect to Kohli for this.

https://twitter.com/ksourabh379/status/1137760108715241473?s=19…
#INDvAUS #CWC19 #WorldCup2019",0,37,2,5,"#INDvAUS,#CWC19,#WorldCup2019",,0,155,21.320071635561042
INDvAUS,10:05 pm · 9 Jun 2019,Cricket World Cup@cricketworldcup,"With a bit of help from Usman Khawaja, Jasprit Bumrah breaks the partnership!

Australia require 151 runs from 80 balls.

#INDvAUS #CWC19 #TeamIndia #CmonAussie",1,406,7,31,"#INDvAUS,#CWC19,#TeamIndia,#CmonAussie",,0,160,19.611613513818405
INDvAUS,10:05 pm · 9 Jun 2019,Cricket World Cup@cricketworldcup,"With a bit of help from Usman Khawaja, Jasprit Bumrah breaks the partnership!

Australia require 151 runs from 80 balls.

#INDvAUS #CWC19 #TeamIndia #CmonAussie",1,406,7,31,"#INDvAUS,#CWC19,#TeamIndia,#CmonAussie",,0,160,19.611613513818405
INDvAUS,10:05 pm · 9 Jun 2019,Fox Cricket@FoxCricket,"WICKET!

Jasprit Bumrah has bowled Usman Khawaja, bringing Glenn Maxwell to the crease.

Australia are now 3-206.

 Watch #INDvAUS LIVE on @KayoSports | https://bit.ly/2ETmsGf
 And join our blog: http://bit.ly/2WQml8P #CWC19",0,46,2,5,"#INDvAUS,#CWC19",@KayoSports,2,224,15.811388300841896
INDvAUS,10:04 pm · 9 Jun 2019,BCCI@BCCI,"Match 14. 36.5: J Bumrah to G Maxwell (4), 4 runs, 206/3 http://bcci.tv/icc-cricket-world-cup-2019/match/14… #IndvAus #CWC19",0,225,4,12,"#IndvAus,#CWC19",,1,124,17.677669529663685
INDvAUS,10:04 pm · 9 Jun 2019,Nikhil Siddhartha@actor_Nikhil,"BOOM BOOM BOOMRAHH 
#INDvAUS #CWC19",1,1K,13,61,"#INDvAUS,#CWC19",,0,35,37.79644730092272
INDvAUS,10:03 pm · 9 Jun 2019,Cricbuzz@cricbuzz,"It's that man once again. Jasprit Bumrah was brought back to get a wicket and he obliges, Khawaja OUT, for a 39-ball 42

#INDvAUS #CWC19",0,351,4,23,"#INDvAUS,#CWC19",,0,136,18.569533817705185
INDvAUS,10:02 pm · 9 Jun 2019,Troll Memes@troll_Memes09,"This is #ViratKohli 
#INDvAUS",0,169,2,29,"#ViratKohli,#INDvAUS",,0,29,50.0
