Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length,cosine_similarity(%)
netflix,7:01 am · 7 May 2020,CinemApp News@CinemApp_CineUK,"RT strongblacklead: ""We can't afford to wait for the world to be equal in order to be seen.""  

What a gem of a moment from MichelleObama at SpelmanCollege  #BECOMING is NOW SHOWING on netflix!  - netflix1:26118.7K viewsFrom Strong Black Lead",1,,,,#BECOMING,,0,242,
netflix,6:57 am · 7 May 2020,"ami  JUAL NETFLIX, VIU, SPOTIFY, NORD VPN@rdongbin","250. NETFLIX PREMIUM #jualanamiaja

tag jual beli netflix, spotify, viu, nord vpn",0,,,,#jualanamiaja,,0,81,
netflix,6:55 am · 7 May 2020,Ambrose@ayambroz,"Netflix and chill!!, Netflix and chill!! nio nio..
Most of us even have no refrigerators81232",0,32,8,12,,,0,93,
netflix,6:37 am · 7 May 2020,𝘽𝙏𝙊𝘽 𝙎𝙪𝙥𝙥𝙤𝙧𝙩𝙨@BTOBSupports,"20200507 #BTOB #SUNGJAE 

""Mystic Pop-up Bar"" on Netflix 

Are you ready to meet Han Kangbae? 

Check out! Trailer is also up on Netflix !12958",0,58,1,29,"#BTOB,#SUNGJAE",,0,143,
netflix,8:21 am · 7 May 2020,CM’s Cheap Premiums@cmcheappremiums,"NETFLIX PREMIUM
GC METHOD 

1 MONTH 300
3 MONTHS  800

MOP: GCASH / PAYMAYA / COINSPH / GLOBE LOAD ",0,,,,,,0,99,
netflix,8:14 am · 7 May 2020,Barang Jualan di Pinned @netflixyuu,Jual netflix premium viu murah #netflixyuu0:009 views1,1,,1,,#netflixyuu,,0,54,
netflix,8:08 am · 7 May 2020,NETFLIX @ 70 ONLY@nfxandchill2,"NETFLIX & SPOTIFY FOR SALE!

 netflix shared - 70 PHP
 netflix solo acc - 250 PHP

 spotify 1 month - 60 PHP
 spotify 8 months - 250 PHP
 spotify 1 year - 400 PHP

NO HOLD & WITH WARRANTY!
101% LEGIT! 

MOP: gcash / palawan / globe load (add 50) 
 DM ME TO AVAIL ",0,,,,,,0,263,
netflix,8:02 am · 7 May 2020,Anime.fr.otaku@Animefrotaku1,Anime.            Netflix Adaptation1,1,1,,,,,0,37,
netflix,7:20 am · 7 May 2020,⋆ online@unlisupplyph,"⠀ ⠀⠀ ⠀⠀⠀⋆  selling netflix •ᴗ•

· solo account
· 250 pesos only
· 5 profiles, 4 devices
· sure no hold

 dm us to avail
 gcash & globe load
( additional for load : 20 )22",0,2,,2,,,0,170,
netflix,5:34 am · 7 May 2020,Krizza Juan@Essaydesu30,I support #ABSCBN by watching Ang Probinsyano on Netflix,1,,,,#ABSCBN,,0,56,
netflix,5:32 am · 7 May 2020,Samara@Samara78653120,When you are your friend at night 1:30 am watching Netflix #QuarantineLife0:0716 views1,1,1,,,#QuarantineLife,,0,87,
netflix,5:32 am · 7 May 2020,T Simms@simms3710,Thx u @MichelleObama loving unon @netflix,0,,,,,"@MichelleObama,@netflix",0,41,
netflix,5:27 am · 7 May 2020,The troubler@troubler_06,"Me tries to sign up for Netflix's 28 days free trial.
Netflix:-1523",1,23,1,5,,,0,67,
netflix,5:26 am · 7 May 2020,Isis Persephone #Win4Wynonna@fandomclexa,WAIT NO I NEED SEASON 2! #SaveDareMe @netflix @huluQuote Tweetsheena@sheenar1382 · 4 Mayjust remembered that USA cancelled dare me and i’m PISSED again #SaveDareMe0:04361.8K views,1,,,,#SaveDareMe,"@netflix,@hulu",0,179,
netflix,5:15 am · 7 May 2020,Daniela  || #renewannewithane@dani_renewawae,"Less than two weeks ago, we hit 300k, and now we’re only 30k away from 400k. We’re getting more signatures every minute! If we keep like this, we’ll hit 400k soon, and then when we finally hit 500k, Netflix and CBC won’t have any excuse to cancel us again.
#renewannewhitane615",0,15,,6,#renewannewhitane,,0,277,
netflix,5:23 am · 7 May 2020,⚘ ᴏᴘᴇɴ@nfAchll,"112th buyer of Netflix account

Sino gusto pa ng Netflix account? 

Dm sa gusto pa magavail 6",0,6,,,,,0,93,
netflix,5:16 am · 7 May 2020,anne  #GanbaCybird@hamanihomare,netflix should make a documentary about all this and name it GEM HEIST #A3ENPlayersGoingToJailParty3078,0,78,,30,#A3ENPlayersGoingToJailParty,,0,103,
netflix,5:14 am · 7 May 2020,Eunoia Ortega @eunoia_ortega,"Always an inspiration. @michelleobama
@netflix",0,,,,,"@michelleobama,@netflix",0,46,
netflix,5:09 am · 7 May 2020,Moi j'aime bien@BotDesConcours,Moi j'aime bien  RT @KTHGXRL: follow trick army bts taehyung jogo boomboclat #coronavirus netflix twd taekook jikooj selca porno +18 thread… https://twitter.com/i/web/status/1258256672713310213…4,0,4,,,#coronavirus,@KTHGXRL,0,195,
netflix,5:03 am · 7 May 2020,Mikyle Bryson Sta Ana@AnaMikyle,Angry birds 2 is now in Netflix,1,,,,,,0,31,
netflix,4:51 am · 7 May 2020,Premium Accounts PH@_cheapavailable,"NETFLIX SHARED ACCOUNT 

- with 4 Pin Code 

4 Slots Available, kakagawa lang po.
 Dm me to avail ~

tags netflix available premium accounts ultra hd shared solo muranh netflix affordable price legit seller viu youtube wattpad spotify canva pro giveaways2",0,2,,,,,0,255,
netflix,4:44 am · 7 May 2020,Mukesh Sharma@are_mukesh,"Watched #kamyab on @netflix after suggesting my many friends.. And it was amazing... What a movie.
@ManMundra",0,,,,#kamyab,"@netflix,@ManMundra",0,109,
netflix,4:42 am · 7 May 2020,Thomas Walker Cherokee Native@ThomasW49466672,The funniest  movies  on Netflix,0,,,,,,0,32,
netflix,3:41 am · 7 May 2020,𝙏𝙝𝙚 𝙈𝙤𝙣𝙜𝙤𝙤𝙨𝙚@HouseMebarak,"Watching Netflix's ""Hollywood"" series220",1,20,,2,,,0,40,
netflix,3:34 am · 7 May 2020,⊬ helena 𖤐 fb or unf@pankowings,netflix give me jj and kiara together plsThe following media includes potentially sensitive content. Change settingsViewFrom al¡ne ⊬11,0,11,,,,,0,134,
netflix,3:18 am · 7 May 2020,glossy@glossythreadsy,"Netflix Suggestions 
—",1,,,,,,0,22,
netflix,3:18 am · 7 May 2020,netflix & spotify • accepting load payment@premiumaccc,"^available premium accounts
^netflix gc method tutorial

 DM us to avail
MOP : gcash, load payment (+additional fee)",0,,,,,,0,116,
netflix,3:15 am · 7 May 2020,Kristopher@thieveshours,"Tonight’s double—EXTRACTION (‘20, Netflix) and Indonesia’s SATAN’S SLAVE (‘80, Shudder). #pandemicfest",1,,,,#pandemicfest,,0,102,
netflix,3:13 am · 7 May 2020,Delonté @dilemmv2,Imma bout to watch Becoming on Netflix #becomingnetflix2123,0,23,2,1,#becomingnetflix,,0,59,
netflix,3:10 am · 7 May 2020,MalluFlix@malluflix,"Thank you @netflix for renewing 'After Life' series...This just made our day better 
@rickygervais
#AfterLife2",0,2,,,#AfterLife,"@netflix,@rickygervais",0,110,
netflix,3:03 am · 7 May 2020,J A S M I N E @jasmine20_30,#Netflix is my best friend nowadays.,0,,,,#Netflix,,0,36,
