Query,username,created_at,verified,followers_count,friends_count,listed_count,tweet,date,Img_present,likes,comments,retweets,tags,mentions,sum_followers_mention,url_count
4 Years of FAN,"herculez gomez@herculezg·Jan 12, 2017",NA,0,0,0,0,I feel 4 @Chargers fan base.. years of not feeling relevant only to land in LA where as if 2018 they'll be the behind 5 dif football teams.3345,"6:14 PM · Jan 12, 2017",0,45,3,3,,@Chargers,890727,0
4 Years of FAN,"anna@starkshiddles·Jan 9, 2017",NA,0,0,0,0,After 3 or 4 years of being a fan I am so proud to say that Tom Hiddleston has done so well and gone so far. Couldn't be prouder.GIF1541,"2:46 AM · Jan 9, 2017",1,41,0,15,,,0,0
4 Years of FAN,"Hara@itsonlyhara·Jan 6, 2017",NA,0,0,0,0,6 years of RM. 4 years of being fan. Now #WeWantRunningManConcertInPH @happeesy @Vernon_Go @RunningManGuest @PDjay @RMPHOfficial #FANMEETING,"1:45 PM · Jan 6, 2017",0,0,0,0,"#WeWantRunningManConcertInPH,#FANMEETING","@happeesy,@Vernon_Go,@RunningManGuest,@PDjay,@RMPHOfficial",452521,0
4 Years of FAN,"Chris@ChrisABiersack·Jan 5, 2017",NA,0,0,0,0,Sorry about all of those tweets. Sometimes I forget that Andy/BVB have so many fans that knew nothing about my video blogs from 4 years ago.1132275,"7:36 PM · Jan 5, 2017",0,275,11,32,,,0,0
4 Years of FAN,"whit @ItsWhiitneyy·Jan 5, 2017",NA,0,0,0,0,"your talent never fails to amaze me, these past 4 years of being your #1 fan have been the best. You are truly something special 337","2:54 AM · Jan 5, 2017",0,37,0,3,,,0,0
4 Years of FAN,"Lord Single Malt@Singlemaltfiend·Jan 4, 2017",NA,0,0,0,0,"You couldn't steal a kiss from a drunk 4 on New Years Eve, so we are well aware you aren't a fan of Valentine's Day. Spare us. Please.2961","2:22 PM · Jan 4, 2017",0,61,2,9,,,0,0
4 Years of FAN,"ForAmerica@ForAmerica·Jan 1, 2017",NA,0,0,0,0,"2016 in review: we avoided 4 more years of nonsense. 

Mission accomplished. Happy New Year, ForAmerica fans!846138","3:13 AM · Jan 1, 2017",1,138,8,46,,,0,0
4 Years of FAN,"ashton@ashtonsiIvers·Nov 23, 2016",NA,0,0,0,0,Finally got the chance to see @the1975 after 4 years of being a fan and they definitely didn't disappoint.2323,"5:24 AM · Nov 23, 2016",1,23,2,3,,@the1975,2114525,0
4 Years of FAN,"dineyyoong@shinewith__me·Nov 20, 2016",NA,0,0,0,0,"I've been a fan of Jichangwook for 4 years already & this is the first time he's blatantly praising his ""partner"" a lot like this.
#TheK2GIF1164181","3:10 PM · Nov 20, 2016",1,181,1,164,#TheK2,,0,0
4 Years of FAN,"Felicia Robinson@feliciafager·Nov 19, 2016",NA,0,0,0,0,I've literally been waiting like 4 years for this moment @Snyder_man45 Thanks for being so cool about me being such a big fan of yours2772,"10:38 PM · Nov 19, 2016",0,72,2,7,,@Snyder_man45,91537,0
4 Years of FAN,"DieHardVUfan@VUCommodore·Nov 17, 2016",NA,0,0,0,0,4 years ago today I experienced one of the best nights I've ever had as a Vandy fan.. Ready for a repeat the next 2 weeks #AnchorDown4744,"1:29 PM · Nov 17, 2016",1,44,4,7,#AnchorDown,,0,0
4 Years of FAN,"Jonathan Oden@JonOden·Nov 15, 2016",NA,0,0,0,0,Realized in 4 years there will be hundreds of thousands of @tyleroakley and @koreykuhl fans old enough to vote for the first time! Exciting!219468,"6:24 PM · Nov 15, 2016",0,468,2,19,,"@tyleroakley,@koreykuhl",6089388,0
4 Years of FAN,"Maximum Pop!@maximumpop·Nov 15, 2016",NA,0,0,0,0,4 boys. 5 years. Millions of fans. It's time to help @5SOS celebrate a huge milestone https://fanprojects.maximumpop.co.uk/projects/5-years-5sos/…279146,"1:40 PM · Nov 15, 2016",1,146,2,79,,@5SOS,12668422,1
4 Years of FAN,"Briana Giovannucci@briegev·Nov 11, 2016",NA,0,0,0,0,Who knew this would happen within 2 years of a tweets and almost 4 years of a fan  @HunterHayes26,"2:40 PM · Nov 11, 2016",0,6,0,2,,@HunterHayes,1487780,0
4 Years of FAN,"chloe@chloebenyamin·Nov 7, 2016",NA,0,0,0,0,Even if ur not a big fan of Donald trump I promise u having Hillary as president for the next 4 years will destroy our country2484,"11:41 PM · Nov 7, 2016",0,84,0,24,,,0,0
4 Years of FAN,"Cathy Out work them!!!@cp2austin·Nov 1, 2016",NA,0,0,0,0,"Now you might not be a big #Hillary fan but you can take 4 years of her over 4 painful, dangerous, embarrassing years of #Trump! Pls VOTE!!!1720","3:28 PM · Nov 1, 2016",0,20,0,17,"#Hillary,#Trump",,0,0
4 Years of FAN,"Dan Graziano@DanGrazianoESPN·Oct 31, 2016",NA,0,0,0,0,"Far more than anything on-field the past 4 years, Giants' handling of JBrown situation would make me ashamed to be their fan.352145","6:01 PM · Oct 31, 2016",0,45,35,21,,,0,0
