Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length
MayThe4thBeWithYou,"3:05 AM · May 6, 2019",Kintosh@kins_art,a bit late for #MayThe4thBeWithYou but hey848,0,48,,8,#MayThe4thBeWithYou,,0,45
MayThe4thBeWithYou,"11:31 PM · May 5, 2019",Nadyasonika @QuedateEnCasa.@Nadyasonika,"Thank you so much @FANEXPODallas for such an amazing experience ♡ See you all soon!
#starwars #Maythe4thbewithyou1241711",0,711,12,41,"#starwars,#Maythe4thbewithyou",@FANEXPODallas,0,120
MayThe4thBeWithYou,"6:54 PM · May 5, 2019",David Hess@hess_express28,Star Wars Day at the Yard! #maythe4thbewithyou #revengeofthe5th227338,0,338,2,27,"#maythe4thbewithyou,#revengeofthe5th",,0,69
MayThe4thBeWithYou,"5:55 PM · May 5, 2019",EA Star Wars #stayandplay@EAStarWars,"Congratulations to the two winners of the #EASWXboxGiveaway: @_Lee_Slater_ and @itskingze! #MayThe4thBeWithYou both!Quote TweetEA Star Wars #stayandplay@EAStarWars · May 4, 2019Lastly, for #MayThe4thBeWithYou, we're choosing the two winners for the #EASWXboxGiveaway! Make sure to enter soon! http://x.ea.com/58079 #Xbox3424543",0,543,34,24,"#EASWXboxGiveaway,#MayThe4thBeWithYou","@_Lee_Slater_,@itskingze",0,327
MayThe4thBeWithYou,"5:26 PM · May 5, 2019",Nick Hague@AstroHague,Indulged in a movie night last night...the Force was with us on @Space_Station. #MayThe4thBeWithYou473552.6K,0,2.6K,47,355,#MayThe4thBeWithYou,@Space_Station,0,108
MayThe4thBeWithYou,"5:18 PM · May 5, 2019",wildatlanticway | #StayAtHome@wildatlanticway,"We’re coming to the end of the final day of the #MayThe4thBeWithYou Festival. From intergalactic drive-in cinemas and scenic boat trips, to Yoda yoga and Jedi training, there was something to suit all ages! See you again next year! May the force be with you. #WildAtlanticWay11347",0,47,1,13,"#MayThe4thBeWithYou,#WildAtlanticWay",,0,280
MayThe4thBeWithYou,"4:53 PM · May 5, 2019",Fáilte Ireland #StayAtHome@Failte_Ireland,"An absolute great event for all the family to enjoy in #MalinHead #Donegal #MayThe4thBeWithYou #StarWarsQuote TweetJimmy Stafford@JimmystaffordDJ · May 5, 2019Credit all in #MalinHead @SunnyMalinHead @Failte_Ireland @JoanCrawford73 #donegal @glackin81 who have done massive work to promote #MayTheForthBeWithYou festival , delighted 2 get up early today and witness it all , #govisit @MalinHeadCA @donegalcouncil @paulmcdevitts1:22874 views614",1,14,,6,"#MalinHead,#Donegal,#MayThe4thBeWithYou,#StarWars",,0,443
MayThe4thBeWithYou,"4:46 PM · May 5, 2019",Fáilte Ireland #StayAtHome@Failte_Ireland,Lots happening today in the universe of #ValentiaIsland #Kerry  as festivities continue for the #MayThe4thBeWithYou festival. #Ireland #StarWars @BGriffinTD @HamillHimself823,0,23,,8,"#ValentiaIsland,#Kerry,#MayThe4thBeWithYou,#Ireland,#StarWars","@BGriffinTD,@HamillHimself",0,174
MayThe4thBeWithYou,"4:39 PM · May 5, 2019",Heath Webb@CoachHeathWebb,"Chris, From Senoir Night to Draft Day to Game Day to Wedding Day - it’s been a fun ride! Thanks for letting my family & I tag along. Proud of the man you’ve become. All the best to you and Brianna. #MayThe4thBeWithYou Always.1249",0,49,1,2,#MayThe4thBeWithYou,,0,229
MayThe4thBeWithYou,"12:03 PM · May 5, 2019",TEMPLE: actw@TEMPLEactw,"3 parts.. (outline + color)
A bit late to #MayThe4thBeWithYou,
but here's #RevengeOfThe5th.
Here's my reworked @starwars piece + color. 
-
#starwars #anewhope916",0,16,,9,"#MayThe4thBeWithYou,#RevengeOfThe5th,#starwars,#anewhope",@starwars,0,161
